company_id,year,pattern
AXISBANK,2007.0,Deleveraging
AXISBANK,2018.0,Cash Cow
AXISBANK,2023.0,Reinvestor
BAJFINANCE,2009.0,Capital Returner
BAJFINANCE,2011.0,Capital Returner
BAJFINANCE,2013.0,Cash Cow
BAJFINANCE,2017.0,Distress Signal
BAJFINANCE,2022.0,Cash Cow
MARUTI,2005.0,Distress Signal
MARUTI,2009.0,Reinvestor
MARUTI,2013.0,Value
MARUTI,2020.0,Growth
MARUTI,2022.0,Cash Cow
MARUTI,2024.0,Value
ASIANPAINT,2007.0,Deleveraging
ASIANPAINT,2010.0,Reinvestor
ASIANPAINT,2016.0,Capital Returner
ASIANPAINT,2020.0,Reinvestor
SUNPHARMA,2006.0,Distress Signal
SUNPHARMA,2010.0,Dividend Payer
SUNPHARMA,2011.0,Cash Cow
SUNPHARMA,2012.0,Value
SUNPHARMA,2016.0,Dividend Payer
SUNPHARMA,2020.0,Reinvestor
SUNPHARMA,2022.0,Reinvestor
TATASTEEL,2009.0,Cash Cow
TATASTEEL,2010.0,Cash Cow
TATASTEEL,2012.0,Distress Signal
TATASTEEL,2019.0,Reinvestor
TATASTEEL,2020.0,Capital Returner
WIPRO,2012.0,Deleveraging
WIPRO,2013.0,Deleveraging
WIPRO,2016.0,Reinvestor
WIPRO,2017.0,Distress Signal
HCLTECH,2011.0,Growth
HCLTECH,2013.0,Deleveraging
HCLTECH,2017.0,Distress Signal
HCLTECH,2019.0,Growth
ONGC,2005.0,Deleveraging
ONGC,2010.0,Dividend Payer
ONGC,2014.0,Growth
ONGC,2020.0,Distress Signal
ONGC,2021.0,Reinvestor
ONGC,2022.0,Deleveraging
ONGC,2024.0,Deleveraging
NTPC,2008.0,Distress Signal
NTPC,2010.0,Capital Returner
NTPC,2011.0,Dividend Payer
NTPC,2012.0,Distress Signal
NTPC,2013.0,Dividend Payer
NTPC,2014.0,Capital Returner
NTPC,2019.0,Distress Signal
NTPC,2022.0,Reinvestor
POWERGRID,2007.0,Deleveraging
POWERGRID,2010.0,Reinvestor
POWERGRID,2013.0,Deleveraging
POWERGRID,2019.0,Capital Returner
POWERGRID,2020.0,Reinvestor
COALINDIA,2005.0,Reinvestor
COALINDIA,2010.0,Deleveraging
COALINDIA,2013.0,Distress Signal
COALINDIA,2016.0,Dividend Payer
COALINDIA,2022.0,Reinvestor
COALINDIA,2024.0,Value
HINDALCO,2010.0,Cash Cow
HINDALCO,2012.0,Cash Cow
HINDALCO,2013.0,Growth
HINDALCO,2016.0,Reinvestor
HINDALCO,2018.0,Deleveraging
HINDALCO,2021.0,Distress Signal
TATAMOTORS,2007.0,Dividend Payer
TATAMOTORS,2008.0,Reinvestor
TATAMOTORS,2010.0,Value
TATAMOTORS,2011.0,Capital Returner
TATAMOTORS,2013.0,Reinvestor
TATAMOTORS,2015.0,Dividend Payer
TATAMOTORS,2019.0,Reinvestor
TATAMOTORS,2021.0,Dividend Payer
ADANIPORTS,2007.0,Value
ADANIPORTS,2010.0,Growth
ADANIPORTS,2011.0,Value
ADANIPORTS,2015.0,Cash Cow
ADANIPORTS,2020.0,Cash Cow
ADANIPORTS,2023.0,Growth
ADANIPORTS,2024.0,Reinvestor
TECHM,2007.0,Distress Signal
TECHM,2008.0,Cash Cow
TECHM,2017.0,Growth
TECHM,2021.0,Deleveraging
TECHM,2022.0,Cash Cow
TECHM,2023.0,Deleveraging
DRREDDY,2005.0,Reinvestor
DRREDDY,2006.0,Distress Signal
DRREDDY,2009.0,Capital Returner
DRREDDY,2015.0,Reinvestor
DRREDDY,2017.0,Deleveraging
DRREDDY,2018.0,Cash Cow
DRREDDY,2024.0,Dividend Payer
CIPLA,2005.0,Reinvestor
CIPLA,2010.0,Reinvestor
CIPLA,2011.0,Dividend Payer
CIPLA,2013.0,Cash Cow
CIPLA,2015.0,Deleveraging
CIPLA,2016.0,Dividend Payer
CIPLA,2018.0,Value
CIPLA,2021.0,Value
CIPLA,2023.0,Capital Returner
BPCL,2005.0,Value
BPCL,2006.0,Capital Returner
BPCL,2007.0,Capital Returner
BPCL,2011.0,Dividend Payer
BPCL,2012.0,Dividend Payer
BPCL,2014.0,Value
BPCL,2017.0,Reinvestor
BPCL,2018.0,Deleveraging
BPCL,2024.0,Deleveraging
ULTRACEMCO,2010.0,Dividend Payer
ULTRACEMCO,2011.0,Growth
ULTRACEMCO,2013.0,Deleveraging
ULTRACEMCO,2017.0,Capital Returner
ULTRACEMCO,2020.0,Deleveraging
ULTRACEMCO,2021.0,Dividend Payer
AMBUJACEM,2006.0,Distress Signal
AMBUJACEM,2007.0,Cash Cow
AMBUJACEM,2009.0,Reinvestor
AMBUJACEM,2013.0,Capital Returner
AMBUJACEM,2017.0,Reinvestor
AMBUJACEM,2019.0,Capital Returner
AMBUJACEM,2022.0,Growth
AMBUJACEM,2024.0,Capital Returner
DABUR,2006.0,Dividend Payer
DABUR,2010.0,Growth
DABUR,2012.0,Value
DABUR,2014.0,Deleveraging
DABUR,2018.0,Dividend Payer
DABUR,2019.0,Growth
DABUR,2021.0,Value
DABUR,2022.0,Cash Cow
DABUR,2023.0,Dividend Payer
BRITANNIA,2009.0,Distress Signal
BRITANNIA,2013.0,Value
BRITANNIA,2014.0,Capital Returner
BRITANNIA,2015.0,Deleveraging
BRITANNIA,2016.0,Growth
BRITANNIA,2019.0,Deleveraging
BRITANNIA,2022.0,Distress Signal
BRITANNIA,2024.0,Cash Cow
HEROMOTOCO,2005.0,Distress Signal
HEROMOTOCO,2006.0,Value
HEROMOTOCO,2009.0,Cash Cow
HEROMOTOCO,2013.0,Cash Cow
HEROMOTOCO,2017.0,Deleveraging
HEROMOTOCO,2020.0,Capital Returner
HEROMOTOCO,2021.0,Reinvestor
EICHERMOT,2007.0,Dividend Payer
EICHERMOT,2009.0,Capital Returner
EICHERMOT,2012.0,Reinvestor
EICHERMOT,2017.0,Distress Signal
EICHERMOT,2018.0,Value
EICHERMOT,2021.0,Value
EICHERMOT,2024.0,Distress Signal
TITAN,2006.0,Distress Signal
TITAN,2008.0,Deleveraging
TITAN,2009.0,Value
TITAN,2015.0,Growth
TITAN,2016.0,Capital Returner
TITAN,2023.0,Deleveraging
MARICO,2005.0,Growth
MARICO,2007.0,Reinvestor
MARICO,2008.0,Growth
MARICO,2010.0,Cash Cow
MARICO,2011.0,Cash Cow
MARICO,2012.0,Deleveraging
MARICO,2013.0,Deleveraging
MARICO,2014.0,Dividend Payer
MARICO,2022.0,Growth
MARICO,2024.0,Cash Cow
VEDL,2005.0,Distress Signal
VEDL,2011.0,Dividend Payer
VEDL,2012.0,Reinvestor
VEDL,2015.0,Growth
VEDL,2017.0,Dividend Payer
VEDL,2018.0,Value
VEDL,2021.0,Distress Signal
JSPL,2005.0,Dividend Payer
JSPL,2007.0,Deleveraging
JSPL,2015.0,Reinvestor
JSPL,2017.0,Value
JSPL,2019.0,Distress Signal
GRASIM,2008.0,Capital Returner
GRASIM,2014.0,Capital Returner
GRASIM,2017.0,Cash Cow
GRASIM,2023.0,Distress Signal
GRASIM,2024.0,Cash Cow
SHREECEM,2007.0,Reinvestor
SHREECEM,2009.0,Value
SHREECEM,2010.0,Capital Returner
SHREECEM,2014.0,Distress Signal
SHREECEM,2022.0,Distress Signal
BAJAJAUTO,2005.0,Value
BAJAJAUTO,2006.0,Distress Signal
BAJAJAUTO,2009.0,Dividend Payer
BAJAJAUTO,2013.0,Growth
BAJAJAUTO,2014.0,Cash Cow
BAJAJAUTO,2015.0,Capital Returner
BAJAJAUTO,2019.0,Value
BAJAJAUTO,2022.0,Value
BAJAJAUTO,2023.0,Value
M&M,2005.0,Deleveraging
M&M,2011.0,Value
M&M,2014.0,Deleveraging
M&M,2016.0,Cash Cow
M&M,2019.0,Reinvestor
M&M,2020.0,Value
M&M,2022.0,Cash Cow
M&M,2023.0,Deleveraging
ADANIENT,2007.0,Growth
ADANIENT,2011.0,Distress Signal
ADANIENT,2013.0,Cash Cow
ADANIENT,2018.0,Capital Returner
ADANIENT,2020.0,Growth
ADANIENT,2021.0,Capital Returner
ADANIENT,2022.0,Cash Cow
DIVISLAB,2006.0,Reinvestor
DIVISLAB,2007.0,Capital Returner
DIVISLAB,2012.0,Dividend Payer
DIVISLAB,2022.0,Growth
INDUSINDBK,2006.0,Value
INDUSINDBK,2008.0,Deleveraging
INDUSINDBK,2010.0,Capital Returner
INDUSINDBK,2011.0,Reinvestor
INDUSINDBK,2014.0,Capital Returner
INDUSINDBK,2015.0,Value
INDUSINDBK,2018.0,Reinvestor
TATAPOWER,2007.0,Value
TATAPOWER,2009.0,Cash Cow
TATAPOWER,2010.0,Reinvestor
TATAPOWER,2014.0,Deleveraging
TATAPOWER,2015.0,Reinvestor
TATAPOWER,2017.0,Dividend Payer
TATAPOWER,2018.0,Cash Cow
TATAPOWER,2020.0,Cash Cow
TATAELXSI,2007.0,Deleveraging
TATAELXSI,2008.0,Capital Returner
TATAELXSI,2009.0,Value
TATAELXSI,2015.0,Value
TATAELXSI,2020.0,Cash Cow
TATAELXSI,2021.0,Growth
TATAELXSI,2022.0,Value
PIDILITIND,2009.0,Distress Signal
PIDILITIND,2014.0,Deleveraging
PIDILITIND,2017.0,Growth
PIDILITIND,2022.0,Deleveraging
PIDILITIND,2024.0,Reinvestor
GODREJCP,2005.0,Dividend Payer
GODREJCP,2007.0,Value
GODREJCP,2011.0,Dividend Payer
GODREJCP,2012.0,Distress Signal
GODREJCP,2020.0,Value
GODREJCP,2021.0,Reinvestor
HAVELLS,2005.0,Cash Cow
HAVELLS,2010.0,Growth
HAVELLS,2014.0,Dividend Payer
HAVELLS,2017.0,Distress Signal
HAVELLS,2022.0,Distress Signal
BAJAJFINSV,2005.0,Capital Returner
BAJAJFINSV,2006.0,Growth
BAJAJFINSV,2009.0,Value
BAJAJFINSV,2013.0,Deleveraging
BAJAJFINSV,2014.0,Deleveraging
BAJAJFINSV,2015.0,Dividend Payer
BAJAJFINSV,2016.0,Distress Signal
BAJAJFINSV,2018.0,Dividend Payer
BAJAJFINSV,2022.0,Growth
BAJAJFINSV,2023.0,Value
LUPIN,2006.0,Distress Signal
LUPIN,2007.0,Distress Signal
LUPIN,2010.0,Cash Cow
LUPIN,2012.0,Growth
LUPIN,2017.0,Distress Signal
LUPIN,2023.0,Growth
BAJAJHLDNG,2006.0,Deleveraging
BAJAJHLDNG,2007.0,Cash Cow
BAJAJHLDNG,2011.0,Capital Returner
BAJAJHLDNG,2012.0,Distress Signal
BAJAJHLDNG,2014.0,Value
BAJAJHLDNG,2016.0,Distress Signal
BAJAJHLDNG,2020.0,Distress Signal
BAJAJHLDNG,2022.0,Reinvestor
CANBK,2005.0,Capital Returner
CANBK,2006.0,Capital Returner
CANBK,2012.0,Value
CANBK,2015.0,Dividend Payer
CANBK,2017.0,Distress Signal
CANBK,2019.0,Dividend Payer
CANBK,2024.0,Deleveraging
BANKBARODA,2007.0,Value
BANKBARODA,2009.0,Distress Signal
BANKBARODA,2013.0,Growth
BANKBARODA,2016.0,Growth
BANKBARODA,2018.0,Deleveraging
BANKBARODA,2020.0,Growth
BANKBARODA,2021.0,Cash Cow
BANKBARODA,2022.0,Reinvestor
UNIONBANK,2006.0,Distress Signal
UNIONBANK,2010.0,Dividend Payer
UNIONBANK,2015.0,Dividend Payer
UNIONBANK,2017.0,Capital Returner
UNIONBANK,2018.0,Distress Signal
UNIONBANK,2024.0,Capital Returner
PNB,2008.0,Capital Returner
PNB,2009.0,Cash Cow
PNB,2015.0,Value
PNB,2018.0,Value
FEDERALBNK,2005.0,Growth
FEDERALBNK,2018.0,Cash Cow
FEDERALBNK,2020.0,Dividend Payer
FEDERALBNK,2022.0,Distress Signal
IDFCFIRSTB,2008.0,Reinvestor
IDFCFIRSTB,2011.0,Growth
IDFCFIRSTB,2016.0,Value
IDFCFIRSTB,2022.0,Capital Returner
IDFCFIRSTB,2023.0,Deleveraging
IDFCFIRSTB,2024.0,Deleveraging
HDFCLIFE,2009.0,Reinvestor
HDFCLIFE,2013.0,Cash Cow
HDFCLIFE,2015.0,Capital Returner
HDFCLIFE,2018.0,Dividend Payer
HDFCLIFE,2019.0,Dividend Payer
HDFCLIFE,2020.0,Capital Returner
HDFCLIFE,2023.0,Dividend Payer
HDFCLIFE,2024.0,Distress Signal
SBILIFE,2006.0,Capital Returner
SBILIFE,2007.0,Cash Cow
SBILIFE,2008.0,Reinvestor
SBILIFE,2013.0,Growth
SBILIFE,2015.0,Cash Cow
SBILIFE,2017.0,Reinvestor
SBILIFE,2020.0,Value
SBILIFE,2022.0,Growth
SBILIFE,2024.0,Cash Cow
ICICIPRULI,2008.0,Reinvestor
ICICIPRULI,2014.0,Capital Returner
ICICIPRULI,2020.0,Dividend Payer
ICICIPRULI,2023.0,Value
SAIL,2005.0,Deleveraging
SAIL,2012.0,Distress Signal
SAIL,2013.0,Growth
SAIL,2016.0,Cash Cow
SAIL,2017.0,Reinvestor
SAIL,2021.0,Growth
NMDC,2005.0,Distress Signal
NMDC,2007.0,Dividend Payer
NMDC,2015.0,Deleveraging
NMDC,2017.0,Value
NMDC,2020.0,Deleveraging
NALCO,2005.0,Reinvestor
NALCO,2008.0,Dividend Payer
NALCO,2010.0,Capital Returner
NALCO,2015.0,Deleveraging
NALCO,2022.0,Deleveraging
NALCO,2024.0,Capital Returner
NHPC,2006.0,Dividend Payer
NHPC,2007.0,Dividend Payer
NHPC,2022.0,Deleveraging
NHPC,2023.0,Deleveraging
POWERINDIA,2009.0,Cash Cow
POWERINDIA,2010.0,Value
POWERINDIA,2013.0,Deleveraging
POWERINDIA,2016.0,Distress Signal
POWERINDIA,2017.0,Capital Returner
POWERINDIA,2023.0,Distress Signal
IOCL,2005.0,Distress Signal
IOCL,2007.0,Growth
IOCL,2008.0,Value
IOCL,2011.0,Capital Returner
IOCL,2013.0,Distress Signal
IOCL,2017.0,Distress Signal
IOCL,2019.0,Distress Signal
IOCL,2022.0,Growth
IOCL,2023.0,Deleveraging
IOCL,2024.0,Distress Signal
HPCL,2007.0,Value
HPCL,2011.0,Deleveraging
HPCL,2019.0,Deleveraging
HPCL,2020.0,Dividend Payer
HPCL,2021.0,Deleveraging
HPCL,2023.0,Dividend Payer
MUTHOOTFIN,2005.0,Cash Cow
MUTHOOTFIN,2007.0,Distress Signal
MUTHOOTFIN,2009.0,Cash Cow
MUTHOOTFIN,2011.0,Dividend Payer
MUTHOOTFIN,2014.0,Dividend Payer
MUTHOOTFIN,2016.0,Growth
MUTHOOTFIN,2017.0,Reinvestor
MUTHOOTFIN,2024.0,Cash Cow
BANDHANBNK,2009.0,Cash Cow
BANDHANBNK,2012.0,Value
BANDHANBNK,2017.0,Growth
BANDHANBNK,2020.0,Value
BANDHANBNK,2021.0,Value
BANDHANBNK,2023.0,Dividend Payer
BANDHANBNK,2024.0,Capital Returner
TORNTPHARM,2006.0,Cash Cow
TORNTPHARM,2009.0,Dividend Payer
TORNTPHARM,2016.0,Distress Signal
TORNTPHARM,2019.0,Growth
ALKEM,2009.0,Cash Cow
ALKEM,2010.0,Deleveraging
ALKEM,2012.0,Distress Signal
ALKEM,2015.0,Cash Cow
ALKEM,2016.0,Cash Cow
ALKEM,2018.0,Reinvestor
ALKEM,2021.0,Growth
ALKEM,2022.0,Value
LALPATHLAB,2008.0,Distress Signal
LALPATHLAB,2011.0,Reinvestor
LALPATHLAB,2013.0,Capital Returner
LALPATHLAB,2015.0,Value
LALPATHLAB,2017.0,Growth
LALPATHLAB,2018.0,Value
LALPATHLAB,2024.0,Deleveraging
BIOCON,2005.0,Value
BIOCON,2015.0,Dividend Payer
BIOCON,2016.0,Reinvestor
BIOCON,2022.0,Deleveraging
BIOCON,2023.0,Growth
ZYDUSLIFE,2005.0,Distress Signal
ZYDUSLIFE,2012.0,Reinvestor
ZYDUSLIFE,2014.0,Growth
ZYDUSLIFE,2021.0,Growth
ZYDUSLIFE,2022.0,Reinvestor
ABBOTINDIA,2009.0,Value
ABBOTINDIA,2010.0,Distress Signal
ABBOTINDIA,2011.0,Dividend Payer
ABBOTINDIA,2017.0,Capital Returner
ABBOTINDIA,2021.0,Growth
ABBOTINDIA,2023.0,Distress Signal
APOLLOHOSP,2015.0,Deleveraging
APOLLOHOSP,2018.0,Reinvestor
APOLLOHOSP,2019.0,Dividend Payer
APOLLOHOSP,2021.0,Distress Signal
APOLLOHOSP,2024.0,Growth
MAXHEALTH,2005.0,Value
MAXHEALTH,2007.0,Capital Returner
MAXHEALTH,2018.0,Growth
MAXHEALTH,2020.0,Reinvestor
MAXHEALTH,2023.0,Dividend Payer
MAXHEALTH,2024.0,Deleveraging
FORTIS,2007.0,Reinvestor
FORTIS,2008.0,Distress Signal
FORTIS,2011.0,Value
FORTIS,2019.0,Dividend Payer
FORTIS,2020.0,Value
FORTIS,2021.0,Reinvestor
FORTIS,2022.0,Value
DEVYANI,2005.0,Capital Returner
DEVYANI,2006.0,Growth
DEVYANI,2012.0,Cash Cow
DEVYANI,2014.0,Reinvestor
DEVYANI,2017.0,Cash Cow
DEVYANI,2020.0,Cash Cow
DEVYANI,2023.0,Dividend Payer
DEVYANI,2024.0,Distress Signal
OBEROIRLTY,2010.0,Dividend Payer
OBEROIRLTY,2011.0,Cash Cow
OBEROIRLTY,2016.0,Capital Returner
OBEROIRLTY,2020.0,Distress Signal
OBEROIRLTY,2024.0,Reinvestor
INDIANHOTL,2006.0,Deleveraging
INDIANHOTL,2008.0,Reinvestor
INDIANHOTL,2010.0,Value
INDIANHOTL,2020.0,Capital Returner
INDIANHOTL,2023.0,Value
TVSMOTOR,2006.0,Reinvestor
TVSMOTOR,2009.0,Value
TVSMOTOR,2011.0,Growth
TVSMOTOR,2012.0,Distress Signal
TVSMOTOR,2015.0,Value
TVSMOTOR,2023.0,Capital Returner
VOLTAS,2007.0,Capital Returner
VOLTAS,2008.0,Capital Returner
VOLTAS,2011.0,Dividend Payer
VOLTAS,2012.0,Growth
VOLTAS,2013.0,Distress Signal
VOLTAS,2014.0,Value
VOLTAS,2019.0,Dividend Payer
ASTRAL,2008.0,Cash Cow
ASTRAL,2009.0,Growth
ASTRAL,2010.0,Reinvestor
ASTRAL,2011.0,Cash Cow
ASTRAL,2016.0,Deleveraging
ASTRAL,2018.0,Distress Signal
ASTRAL,2020.0,Dividend Payer
ASTRAL,2021.0,Growth
ASTRAL,2022.0,Growth
AARTIIND,2006.0,Growth
AARTIIND,2008.0,Reinvestor
AARTIIND,2009.0,Capital Returner
AARTIIND,2011.0,Reinvestor
AARTIIND,2019.0,Value
AARTIIND,2021.0,Deleveraging
AARTIIND,2023.0,Reinvestor
TORNTPOWER,2011.0,Capital Returner
TORNTPOWER,2013.0,Growth
TORNTPOWER,2015.0,Value
TORNTPOWER,2017.0,Dividend Payer
TORNTPOWER,2018.0,Distress Signal
TORNTPOWER,2023.0,Growth
M&MFIN,2005.0,Deleveraging
M&MFIN,2006.0,Dividend Payer
M&MFIN,2007.0,Growth
M&MFIN,2012.0,Cash Cow
M&MFIN,2015.0,Deleveraging
M&MFIN,2016.0,Growth
M&MFIN,2020.0,Distress Signal
M&MFIN,2021.0,Deleveraging
M&MFIN,2024.0,Deleveraging
CHOLAFIN,2008.0,Cash Cow
CHOLAFIN,2009.0,Reinvestor
CHOLAFIN,2011.0,Distress Signal
CHOLAFIN,2015.0,Value
